City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,quatre cocos,-20.2078,57.7625,27.06,83,100,2.43,MU,1674456309
318,yatou,37.15,122.3833,-3.81,65,100,10.34,CN,1674456309
319,tutoia,-2.7619,-42.2744,25.0,88,72,3.92,BR,1674456310
320,saint george,37.1041,-113.5841,1.81,49,100,3.13,US,1674456120
321,jalu,29.0331,21.5482,11.62,41,0,3.29,LY,1674456311
322,shakawe,-18.3667,21.85,24.95,64,32,1.42,BW,1674456311
323,lorengau,-2.0226,147.2712,28.27,78,100,3.93,PG,1674456312
324,shitanjing,39.2342,106.3439,-13.98,35,96,11.66,CN,1674456312
325,tezu,27.9167,96.1667,24.86,22,61,2.05,IN,1674456313
326,sorland,67.667,12.6934,5.92,77,100,19.53,NO,1674456313
327,saint-leu,-21.15,55.2833,25.48,80,100,1.69,RE,1674456313
328,atambua,-9.1061,124.8925,27.26,68,100,1.51,ID,1674456314
329,porgera,-5.4667,143.2,9.58,97,100,1.31,PG,1674456314
330,edson,53.5835,-116.4356,-6.92,73,40,1.03,CA,1674456283
331,vallenar,-28.5708,-70.7581,18.74,76,0,1.55,CL,1674456315
332,zacualpan,21.25,-105.1667,19.43,88,69,2.37,MX,1674456316
333,porto walter,-8.2686,-72.7439,21.21,99,95,1.25,BR,1674456316
334,makakilo city,21.3469,-158.0858,24.2,72,0,5.14,US,1674456317
335,san patricio,28.017,-97.5169,15.92,56,0,4.15,US,1674456317
336,hamilton,39.1834,-84.5333,0.98,94,100,2.06,US,1674456019
337,nanortalik,60.1432,-45.2371,-4.99,61,100,3.93,GL,1674456318
338,calvinia,-31.4707,19.776,24.71,39,10,2.38,ZA,1674456319
339,shelburne,44.0787,-80.2041,-2.91,98,100,3.2,CA,1674456319
340,tangshan,39.6333,118.1833,-6.14,22,41,5.91,CN,1674456320
341,colac,-38.3333,143.5833,23.43,45,7,4.66,AU,1674456320
342,nizhnyaya salda,58.0776,60.7202,-9.2,91,30,1.86,RU,1674456321
343,asekeyevo,53.5742,52.7972,-13.73,93,90,0.67,RU,1674456321
344,panguna,-6.3164,155.4848,23.91,81,100,1.08,PG,1674456322
345,alto longa,-5.2511,-42.2103,21.92,95,28,0.85,BR,1674456322
346,alice springs,-23.7,133.8833,35.75,13,1,2.06,AU,1674456323
347,cabinda,-5.55,12.2,26.08,94,75,1.54,AO,1674456323
348,jijiga,9.35,42.8,21.06,28,69,0.54,ET,1674456324
349,kintinku,-5.8833,35.2333,22.8,77,100,1.0,TZ,1674456324
350,cabedelo,-6.9811,-34.8339,25.37,83,12,3.99,BR,1674456325
351,mandalgovi,45.7625,106.2708,-24.44,41,0,8.55,MN,1674456325
352,avera,33.194,-82.5271,8.73,87,97,5.66,US,1674456326
353,villa maria,-32.4075,-63.2402,19.95,63,4,2.05,AR,1674456327
354,arman,59.7,150.1667,-22.77,84,97,4.22,RU,1674456327
355,port lincoln,-34.7333,135.8667,21.15,65,67,8.38,AU,1674456165
356,novoagansk,61.9449,76.6625,-9.19,95,100,4.76,RU,1674456328
357,kieta,-6.2167,155.6333,27.88,75,100,1.66,PG,1674456328
358,dondo,-19.6094,34.7431,28.73,73,42,2.26,MZ,1674456329
359,vila franca do campo,37.7167,-25.4333,15.23,84,6,6.05,PT,1674456329
360,narsaq,60.9167,-46.05,-14.88,67,100,3.66,GL,1674456330
361,odda,60.0691,6.5457,1.31,96,100,3.23,NO,1674456330
